FIPS,STATE_FIPS,population,covid_cases,covid_deaths
20093,20,3838,3941,47
20095,20,7152,101,0
20097,20,2475,271,0
20099,20,19618,4347,0
20101,20,1535,290,0
20103,20,81758,100763,658
20105,20,2962,91,0
20107,20,9703,1307,0
20109,20,2794,49,0
20111,20,33195,41201,468
20113,20,28542,5240,0
20115,20,11884,1265,95
20117,20,9707,138,0
20119,20,4033,2494,0
20121,20,34237,2563,0
20123,20,5979,680,0
20125,20,31829,3673,259
20127,20,5620,505,0
20129,20,2587,552,78
20131,20,10231,1737,0
20133,20,16007,1610,0
20135,20,2750,256,0
20137,20,5361,578,0
20139,20,15949,1341,0
20141,20,3421,256,0
20143,20,5704,854,0
20145,20,6414,227,0
20147,20,5234,928,85
20149,20,24383,4660,0
20151,20,9164,742,0
20153,20,2530,0,0
20155,20,61998,7636,5
20157,20,4636,812,0
20159,20,9537,557,0
20161,20,74232,15203,177
20163,20,4920,788,0
20165,20,3036,93,0
20167,20,6856,79,0
20169,20,54224,8555,235
20171,20,4823,1214,0
20173,20,516042,117023,2278
20175,20,21428,84158,156
20177,20,176875,51047,918
20179,20,2521,328,0
20181,20,5917,638,0
20183,20,3583,252,0
20185,20,4156,138,0
20187,20,2006,949,0
20189,20,5485,2645,0
20191,20,22836,1793,116
20193,20,7777,665,0
20195,20,2803,103,0
20197,20,6931,2996,0
20199,20,1518,0,0
20201,20,5406,61,0
20203,20,2119,12,0
20205,20,8525,211,0
20207,20,3138,754,0
20209,20,165429,191648,7786
0,21,0,3219,41
21001,21,19202,11376,1677
21003,21,21315,10648,354
21005,21,22747,2278,130
21007,21,7888,1352,0
21009,21,44249,7517,118
21011,21,12500,1191,90
21013,21,26032,3407,14
21015,21,133581,49055,1581
21017,21,19788,2410,136
21019,21,46718,5998,322
21021,21,30060,3485,0
21023,21,8303,1511,0
21025,21,12630,663,0
21027,21,20477,2150,141
21029,21,81676,13043,397
21031,21,12879,22578,1033
21033,21,12747,1860,0
21035,21,39001,7044,119
21037,21,93584,21977,1179
21039,21,4760,591,89
21041,21,10631,3452,39
21043,21,26797,2332,15
21045,21,16159,2384,103
21047,21,70461,17934,371
21049,21,36263,6773,207
21051,21,19901,3565,171
21053,21,10218,558,0
21055,21,8806,848,100
21057,21,6614,737,0
21059,21,101511,37836,667
21061,21,12150,5916,842
21063,21,7517,202,0
21065,21,14106,271,0
21067,21,323152,108346,2111
21069,21,14581,1223,0
21071,21,35589,2582,15
21073,21,50991,8724,192
21075,21,5969,1337,21
21077,21,8869,3792,421
21079,21,17666,1613,0
21081,21,25069,4929,396
21083,21,37266,20415,1843
21085,21,26427,12112,839
21087,21,10941,511,42
21089,21,35098,2482,0
21091,21,8722,1453,0
21093,21,110958,15363,360
21095,21,26010,2397,79
