StateFIPS,date,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,distributed_per_hundred,share_doses_used
6,2021-02-11,2.51,13.0,10.4,19.8,0.6559999999999999
6,2021-02-12,2.74,13.52,10.69,20.15,0.6709999999999999
6,2021-02-13,2.98,14.08,11.0,20.38,0.691
6,2021-02-14,3.26,14.73,11.37,20.4,0.722
6,2021-02-15,3.26,14.73,11.37,20.4,0.722
6,2021-02-16,3.69,15.72,11.92,20.88,0.753
6,2021-02-17,3.82,16.0,12.06,21.28,0.752
6,2021-02-18,4.0,16.44,12.31,22.08,0.745
6,2021-02-19,4.44,17.63,13.06,23.19,0.76
6,2021-02-20,4.72,18.23,13.38,23.23,0.785
6,2021-02-21,5.0,18.86,13.73,23.23,0.812
6,2021-02-22,5.18,19.25,13.91,23.23,0.8290000000000001
6,2021-02-23,5.32,19.56,14.07,25.74,0.76
6,2021-02-24,5.49,19.93,14.27,27.09,0.736
6,2021-02-25,5.72,20.41,14.52,27.73,0.736
6,2021-02-26,6.02,21.03,14.84,28.59,0.736
6,2021-02-27,6.33,21.68,15.17,29.33,0.7390000000000001
6,2021-02-28,6.6,22.32,15.54,29.33,0.7609999999999999
6,2021-03-01,6.94,23.05,15.93,29.33,0.7859999999999999
6,2021-03-02,7.34,24.04,16.5,31.71,0.758
6,2021-03-03,7.57,24.63,16.86,32.33,0.762
6,2021-03-04,7.7,24.95,17.06,33.49,0.745
6,2021-03-05,7.91,25.49,17.38,34.44,0.74
6,2021-03-06,8.25,26.36,17.91,35.14,0.75
6,2021-03-07,8.47,26.92,18.24,35.14,0.7659999999999999
6,2021-03-08,8.62,27.35,18.52,35.14,0.778
6,2021-03-09,8.72,27.65,18.73,38.08,0.726
6,2021-03-10,8.82,28.0,18.97,38.73,0.723
6,2021-03-11,8.96,28.4,19.24,39.8,0.7140000000000001
6,2021-03-12,9.15,28.92,19.59,40.64,0.7120000000000001
6,2021-03-13,9.67,30.07,20.31,41.45,0.726
6,2021-03-14,9.67,30.08,20.32,41.45,0.726
6,2021-03-15,10.13,31.15,20.98,41.45,0.752
6,2021-03-16,10.51,32.11,21.61,44.0,0.73
6,2021-03-17,11.0,33.31,22.39,44.57,0.747
6,2021-03-18,11.43,34.33,23.03,45.62,0.752
6,2021-03-19,11.76,35.14,23.54,46.79,0.7509999999999999
6,2021-03-20,12.13,36.13,24.2,47.77,0.7559999999999999
6,2021-03-21,12.61,37.22,24.89,47.77,0.779
6,2021-03-22,12.91,38.09,25.49,47.77,0.797
6,2021-03-23,13.17,38.85,26.01,50.5,0.769
6,2021-03-24,13.51,39.71,26.63,51.86,0.7659999999999999
6,2021-03-25,13.87,40.65,27.23,53.0,0.767
6,2021-03-26,14.34,41.83,27.99,54.47,0.768
6,2021-03-27,14.76,42.89,28.66,55.34,0.775
8,2021-01-12,0.63,3.9,3.26,8.97,0.434
8,2021-01-13,0.72,4.16,3.44,9.22,0.452
8,2021-01-14,0.72,4.42,3.63,9.23,0.479
8,2021-01-15,0.82,4.73,3.89,9.23,0.512
8,2021-01-16,0.82,4.73,3.89,9.23,0.512
8,2021-01-17,0.82,4.73,3.89,9.23,0.512
8,2021-01-18,0.82,4.73,3.89,9.23,0.512
8,2021-01-19,0.87,5.74,4.84,9.23,0.621
8,2021-01-20,0.89,5.91,4.99,10.96,0.539
8,2021-01-21,0.95,6.13,5.15,11.41,0.537
8,2021-01-22,1.08,6.55,5.44,11.66,0.562
8,2021-01-23,1.08,6.55,5.44,12.03,0.545
8,2021-01-24,1.34,7.54,6.17,12.03,0.627
8,2021-01-25,1.4,7.78,6.34,12.03,0.647
8,2021-01-26,1.44,7.95,6.46,12.61,0.63
8,2021-01-27,1.57,8.24,6.63,13.46,0.612
8,2021-01-28,1.71,8.61,6.84,14.01,0.614
8,2021-01-29,1.88,9.06,7.12,14.12,0.642
8,2021-01-30,2.06,9.47,7.35,14.12,0.67
8,2021-01-31,2.17,9.88,7.65,14.12,0.7
8,2021-02-01,2.27,10.24,7.91,14.12,0.725
8,2021-02-02,2.31,10.44,8.07,15.14,0.69
8,2021-02-03,2.44,10.72,8.21,16.34,0.6559999999999999
8,2021-02-04,2.6,11.09,8.43,17.07,0.65
8,2021-02-05,2.82,11.49,8.6,17.18,0.669
8,2021-02-06,3.11,12.07,8.89,17.21,0.701
8,2021-02-07,3.43,12.67,9.18,17.21,0.736
8,2021-02-08,3.61,13.06,9.38,17.21,0.759
8,2021-02-09,3.67,13.15,9.41,18.15,0.725
8,2021-02-10,3.92,13.67,9.68,19.29,0.7090000000000001
8,2021-02-11,4.16,14.15,9.92,20.19,0.701
8,2021-02-12,4.41,14.67,10.18,20.92,0.701
8,2021-02-13,4.72,15.38,10.58,21.02,0.732
8,2021-02-14,5.05,16.09,10.96,21.02,0.7659999999999999
8,2021-02-15,5.05,16.09,10.96,21.02,0.7659999999999999
8,2021-02-16,5.37,17.38,11.93,21.26,0.8170000000000001
8,2021-02-17,5.46,17.78,12.24,21.37,0.8320000000000001
8,2021-02-18,5.6,18.29,12.58,22.27,0.821
8,2021-02-19,6.0,19.66,13.56,23.14,0.85
8,2021-02-20,6.26,20.28,13.91,23.42,0.866
8,2021-02-21,6.57,20.88,14.19,23.42,0.8909999999999999
8,2021-02-22,6.81,21.39,14.44,23.42,0.9129999999999999
8,2021-02-23,6.83,21.42,14.46,24.61,0.87
8,2021-02-24,7.18,22.02,14.71,26.27,0.838
8,2021-02-25,7.4,22.47,14.93,27.75,0.81
8,2021-02-26,7.63,22.98,15.21,28.8,0.7979999999999999
8,2021-02-27,7.65,23.0,15.23,29.53,0.779
8,2021-02-28,8.02,23.82,15.65,29.53,0.8059999999999999
8,2021-03-01,8.33,24.54,16.06,29.53,0.831
8,2021-03-02,8.42,24.81,16.25,30.34,0.818
8,2021-03-03,8.67,25.39,16.57,32.09,0.7909999999999999
8,2021-03-04,8.91,25.96,16.88,33.57,0.773
8,2021-03-05,9.14,26.55,17.23,34.88,0.7609999999999999
8,2021-03-06,9.54,27.44,17.7,35.07,0.782
8,2021-03-07,9.86,28.24,18.17,35.07,0.805
8,2021-03-08,9.93,28.26,18.19,35.07,0.8059999999999999
8,2021-03-09,10.16,28.66,18.44,36.8,0.779
8,2021-03-10,10.58,29.42,18.92,38.44,0.765
8,2021-03-11,11.12,30.63,19.69,39.91,0.767
8,2021-03-12,11.55,31.55,20.24,40.48,0.78
8,2021-03-13,12.07,32.62,20.84,40.72,0.8009999999999999
8,2021-03-14,12.07,32.62,20.84,40.72,0.8009999999999999
8,2021-03-15,12.51,33.58,21.4,40.72,0.825
8,2021-03-16,12.65,33.83,21.52,40.72,0.831
8,2021-03-17,12.97,34.51,21.92,44.05,0.7829999999999999
8,2021-03-18,13.3,35.24,22.33,45.92,0.767
8,2021-03-19,13.6,36.12,22.93,46.36,0.779
8,2021-03-20,14.55,38.0,23.94,46.61,0.815
8,2021-03-21,15.05,39.08,24.54,46.61,0.838
8,2021-03-22,15.25,39.53,24.81,46.61,0.848
8,2021-03-23,15.45,40.12,25.2,48.44,0.828
8,2021-03-24,15.63,40.7,25.62,50.27,0.81
8,2021-03-25,15.85,41.48,26.23,52.21,0.795
8,2021-03-26,16.1,42.43,26.94,52.98,0.8009999999999999
8,2021-03-27,16.43,43.43,27.64,53.14,0.8170000000000001
9,2021-01-12,0.12,4.25,1.58,7.03,0.604
