Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Kentucky,2/8/2021,28275,28275
Louisiana,2/8/2021,29250,29250
Maine,2/8/2021,8775,8775
Mariana Islands,2/8/2021,0,0
Marshall Islands,2/8/2021,0,0
Maryland,2/8/2021,38025,38025
Massachusetts,2/8/2021,43875,43875
Michigan,2/8/2021,62400,62400
Micronesia,2/8/2021,0,0
Minnesota,2/8/2021,34125,34125
Mississippi,2/8/2021,18525,18525
Missouri,2/8/2021,38025,38025
Montana,2/8/2021,6825,6825
Nebraska,2/8/2021,11700,11700
Nevada,2/8/2021,18525,18525
New Hampshire,2/8/2021,8775,8775
New Jersey,2/8/2021,55575,55575
New Mexico,2/8/2021,13650,13650
New York,2/8/2021,71175,71175
New York City,2/8/2021,53625,53625
North Carolina,2/8/2021,63375,63375
North Dakota,2/8/2021,4875,4875
Ohio,2/8/2021,73125,73125
Oklahoma,2/8/2021,24375,24375
Oregon,2/8/2021,26325,26325
Palau,2/8/2021,0,0
Pennsylvania,2/8/2021,71175,71175
Philadelphia,2/8/2021,10725,10725
Puerto Rico,2/8/2021,22425,22425
Rhode Island,2/8/2021,6825,6825
South Carolina,2/8/2021,31200,31200
South Dakota,2/8/2021,5850,5850
Tennessee,2/8/2021,41925,41925
Texas,2/8/2021,165750,165750
U.S. Virgin Islands,2/8/2021,975,975
Utah,2/8/2021,17550,17550
Vermont,2/8/2021,4875,4875
Virginia,2/8/2021,52650,52650
Washington,2/8/2021,46800,46800
West Virginia,2/8/2021,11700,11700
Wisconsin,2/8/2021,37050,37050
Wyoming,2/8/2021,3900,3900
Alabama,2/1/2021,30225,30225
Alaska,2/1/2021,27300,27300
American Samoa,2/1/2021,7800,0
Arizona,2/1/2021,42900,42900
Arkansas,2/1/2021,18525,18525
California,2/1/2021,240825,240825
Chicago,2/1/2021,17550,17550
Colorado,2/1/2021,34125,34125
Connecticut,2/1/2021,23400,23400
Delaware,2/1/2021,6825,6825
District of Columbia,2/1/2021,4875,4875
Federal Entities,2/1/2021,119925,104325
Florida,2/1/2021,131625,131625
Georgia,2/1/2021,62400,62400
Guam,2/1/2021,7800,0
Hawaii,2/1/2021,9750,9750
Idaho,2/1/2021,10725,10725
Illinois,2/1/2021,62400,62400
Indiana,2/1/2021,40950,40950
Iowa,2/1/2021,19500,19500
Kansas,2/1/2021,17550,17550
Kentucky,2/1/2021,28275,28275
Louisiana,2/1/2021,29250,29250
Maine,2/1/2021,8775,8775
Mariana Islands,2/1/2021,7800,0
Marshall Islands,2/1/2021,0,0
Maryland,2/1/2021,38025,38025
Massachusetts,2/1/2021,43875,43875
Michigan,2/1/2021,62400,62400
Micronesia,2/1/2021,0,0
Minnesota,2/1/2021,34125,34125
Mississippi,2/1/2021,18525,18525
Missouri,2/1/2021,38025,38025
Montana,2/1/2021,6825,6825
Nebraska,2/1/2021,11700,11700
Nevada,2/1/2021,18525,18525
New Hampshire,2/1/2021,8775,8775
New Jersey,2/1/2021,55575,55575
New Mexico,2/1/2021,13650,13650
New York,2/1/2021,70200,70200
New York City,2/1/2021,53625,53625
North Carolina,2/1/2021,63375,63375
North Dakota,2/1/2021,4875,4875
Ohio,2/1/2021,72150,72150
Oklahoma,2/1/2021,24375,24375
Oregon,2/1/2021,26325,26325
Palau,2/1/2021,0,0
Pennsylvania,2/1/2021,71175,71175
Philadelphia,2/1/2021,10725,10725
Puerto Rico,2/1/2021,22425,22425
Rhode Island,2/1/2021,6825,6825
South Carolina,2/1/2021,31200,31200
South Dakota,2/1/2021,5850,5850
Tennessee,2/1/2021,41925,41925
Texas,2/1/2021,164775,164775
U.S. Virgin Islands,2/1/2021,975,975
